finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source
Sylvilagus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,NA,NA,NA
Sylvilagus aquaticus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus aquaticus,2.198,Harestad and Bunnel 1979
Sylvilagus audubonii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,NA,NA
Sylvilagus bachmani,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani,0.695,Harestad_ Bunnel_1979
Sylvilagus cunicularius,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus cunicularius,NA,NA
Sylvilagus dicei,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus dicei,NA,NA
Sylvilagus floridanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,1.36079,Tamburello_etal_2015
Sylvilagus nuttallii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus nuttallii,NA,NA
Talpidae,Metazoa,Mammalia,Eulipotyphla,Talpidae,NA,NA,NA,NA
Tamandua mexicana,Metazoa,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,NA,NA
Tamias,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,NA,NA,NA
Tamias alpinus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Neotamias alpinus,NA,NA
Tamias dorsalis,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias dorsalis,NA,NA
Tamias merriami,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias merriami,NA,NA
Tamias minimus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias minimus,0.045,Swihart_etal_1988
Tamias striatus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,0.085,Harestad_ Bunnel_1979
Tamiasciurus hudsonicus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,0.22396,Tamburello_etal_2015
Tapirus bairdii,Metazoa,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus bairdii,NA,NA
Taricha torosa,Metazoa,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa,NA,NA
Taxidea taxus,Metazoa,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,8.61827,Tamburello_etal_2015
Tayassuidae,Metazoa,Mammalia,Artiodactyla,Tayassuidae,NA,NA,NA,NA
Testudines,Metazoa,NA,Testudines,NA,NA,NA,NA,NA
Tetraoninae,Metazoa,Aves,Galliformes,Phasianidae,NA,NA,NA,NA
Thamnophis atratus,Metazoa,Lepidosauria,Squamata,Colubridae,Thamnophis,Thamnophis atratus,NA,NA
Thomomys bottae,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,0.16018,Tamburello_etal_2015
Thomomys mazama,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys mazama,NA,NA
Thomomys townsendii,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys townsendii,NA,NA
Urocitellus armatus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus armatus,NA,NA
Urocitellus columbianus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus columbianus,0.57834,Tamburello_etal_2015
Urocitellus townsendii,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus townsendii,NA,NA
Urocitellus washingtoni,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus washingtoni,NA,NA
Urocyon cinereoargenteus,Metazoa,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,3.834,EOL
Ursus americanus,Metazoa,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,100,Hein_etal_2012
Vulpes macrotis,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,NA,NA
Vulpes macrotis mutica,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,NA,NA
Vulpes velox,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,2.0893,Tamburello_etal_2015
Vulpes vulpes,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,4.1,Gittleman_Harvey_1982
Xerospermophilus mohavensis,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus mohavensis,NA,NA
Xerospermophilus tereticaudus,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus tereticaudus,NA,NA
Zalophus californianus,Metazoa,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,NA,NA
Zapus hudsonius,Metazoa,Mammalia,Rodentia,Dipodidae,Zapus,Zapus hudsonius,0.022,Mace_Harvey_1983
Zenaida asiatica,Metazoa,Aves,Columbiformes,Columbidae,Zenaida,Zenaida asiatica,NA,NA
Acrididae,Metazoa,Insecta,Orthoptera,Acrididae,NA,NA,NA,NA
Alcelaphus buselaphus,Metazoa,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,NA,NA
Antidorcas marsupialis,Metazoa,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,32,Hein_Gillooly_2011
Aphidoidea,Metazoa,Insecta,Hemiptera,NA,NA,NA,NA,NA
Bathyergidae,Metazoa,Mammalia,Rodentia,Bathyergidae,NA,NA,NA,NA
Bovidae,Metazoa,Mammalia,Artiodactyla,Bovidae,NA,NA,NA,NA
Capra hircus aegagrus,Metazoa,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus,NA,NA
Caracal caracal,Metazoa,Mammalia,Carnivora,Felidae,Caracal,Caracal caracal,12.9999,Tamburello_etal_2015
Cephalophus,Metazoa,Mammalia,Artiodactyla,Bovidae,Cephalophus,NA,NA,NA
Connochaetes gnou,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes gnou,NA,NA
Connochaetes taurinus,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,140,Hein_etal_2012
Cryptomys hottentotus,Metazoa,Mammalia,Rodentia,Bathyergidae,Cryptomys,Cryptomys hottentotus,NA,NA
Cynictis penicillata,Metazoa,Mammalia,Carnivora,Herpestidae,Cynictis,Cynictis penicillata,0.62,Tamburello_etal
Damaliscus lunatus,Metazoa,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,NA,NA
Damaliscus pygargus,Metazoa,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,NA,NA
Dasymys incomtus,Metazoa,Mammalia,Rodentia,Muridae,Dasymys,Dasymys incomtus,NA,NA
Dendromus melanotis,Metazoa,Mammalia,Rodentia,Nesomyidae,Dendromus,Dendromus melanotis,NA,NA
Equus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,NA,NA,NA
Equus asinus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus asinus,NA,NA
Equus quagga,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus quagga,NA,NA
Eudorcas thomsonii,Metazoa,Mammalia,Artiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,NA,NA
Gerbilliscus brantsii,Metazoa,Mammalia,Rodentia,Muridae,Gerbilliscus,Gerbilliscus brantsii,NA,NA
Giraffa camelopardalis,Metazoa,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,NA,NA
Hyracoidea,Metazoa,Mammalia,Hyracoidea,NA,NA,NA,NA,NA
Hystrix africaeaustralis,Metazoa,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix africaeaustralis,NA,NA
Ictonyx striatus,Metazoa,Mammalia,Carnivora,Mustelidae,Ictonyx,Ictonyx striatus,NA,NA
Kobus ellipsiprymnus,Metazoa,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,NA,NA
Lepus capensis,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,NA,NA
Madoqua kirkii,Metazoa,Mammalia,Artiodactyla,Bovidae,Madoqua,Madoqua kirkii,NA,NA
Mastomys natalensis,Metazoa,Mammalia,Rodentia,Muridae,Mastomys,Mastomys natalensis,NA,NA
Micaelamys namaquensis,Metazoa,Mammalia,Rodentia,Muridae,Micaelamys,Micaelamys namaquensis,NA,NA
Mus minutoides,Metazoa,Mammalia,Rodentia,Muridae,Mus,Mus minutoides,NA,NA
Myosorex varius,Metazoa,Mammalia,Eulipotyphla,Soricidae,Myosorex,Myosorex varius,NA,NA
Oreotragus oreotragus,Metazoa,Mammalia,Artiodactyla,Bovidae,Oreotragus,Oreotragus oreotragus,NA,NA
Orycteropus afer,Metazoa,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,NA,NA
Otocyon megalotis,Metazoa,Mammalia,Carnivora,Canidae,Otocyon,Otocyon megalotis,NA,NA
Otomys irroratus,Metazoa,Mammalia,Rodentia,Muridae,Otomys,Otomys irroratus,NA,NA
Ourebia ourebi,Metazoa,Mammalia,Artiodactyla,Bovidae,Ourebia,Ourebia ourebi,NA,NA
Papio ursinus,Metazoa,Mammalia,Primates,Cercopithecidae,Papio,Papio ursinus,NA,NA
Pedetes,Metazoa,Mammalia,Rodentia,Pedetidae,Pedetes,NA,NA,NA
Pedetes capensis,Metazoa,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes capensis,NA,NA
Phacochoerus,Metazoa,Mammalia,Artiodactyla,Suidae,Phacochoerus,NA,NA,NA
Phacochoerus africanus,Metazoa,Mammalia,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,NA,NA
Primates,Metazoa,Mammalia,Primates,NA,NA,NA,NA,NA
Procavia capensis,Metazoa,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,NA,NA
Raphicerus campestris,Metazoa,Mammalia,Artiodactyla,Bovidae,Raphicerus,Raphicerus campestris,NA,NA
Rattus rattus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,NA,NA
Redunca arundinum,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca arundinum,NA,NA
Redunca fulvorufula,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca fulvorufula,NA,NA
Rhabdomys pumilio,Metazoa,Mammalia,Rodentia,Muridae,Rhabdomys,Rhabdomys pumilio,NA,NA
Suricata suricatta,Metazoa,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,NA,NA
Sylvicapra grimmia,Metazoa,Mammalia,Artiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,NA,NA
Syncerus caffer,Metazoa,Mammalia,Artiodactyla,Bovidae,Syncerus,Syncerus caffer,NA,NA
Tragelaphus angasii,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii,NA,NA
Tragelaphus oryx,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus oryx,635.03842,Tamburello_etal_2015
Tragelaphus scriptus sylvaticus,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,NA,NA
Tragelaphus strepsiceros,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,NA,NA
Vespidae,Metazoa,Insecta,Hymenoptera,Vespidae,NA,NA,NA,NA
Vulpes chama,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes chama,NA,NA
Xerus inauris,Metazoa,Mammalia,Rodentia,Sciuridae,Xerus,Xerus inauris,NA,NA
Canis latrans,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis latrans,14.06,Jenkins_etal_2007
Arvicanthis,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,NA,NA,NA
Arvicanthis abyssinicus,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis abyssinicus,NA,NA
Arvicanthis blicki,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis blicki,NA,NA
Dendromus lovati,Metazoa,Mammalia,Rodentia,Nesomyidae,Dendromus,Dendromus lovati,NA,NA
Lepus starcki,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus starcki,NA,NA
Lophuromys,Metazoa,Mammalia,Rodentia,Muridae,Lophuromys,NA,NA,NA
Lophuromys flavopunctatus,Metazoa,Mammalia,Rodentia,Muridae,Lophuromys,Lophuromys flavopunctatus,NA,NA
Malacothrix,Metazoa,Mammalia,Rodentia,Nesomyidae,Malacothrix,NA,NA,NA
Otomys typus,Metazoa,Mammalia,Rodentia,Muridae,Otomys,Otomys typus,NA,NA
Spalax giganteus,Metazoa,Mammalia,Rodentia,Spalacidae,Spalax,Spalax giganteus,NA,NA
Stenocephalemys albipes,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys albipes,NA,NA
Stenocephalemys albocaudata,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys albocaudata,NA,NA
Stenocephalemys griseicauda,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys griseicauda,NA,NA
Tachyoryctes,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,NA,NA,NA
Tachyoryctes macrocephalus,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,Tachyoryctes macrocephalus,NA,NA
Tachyoryctes splendens,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,Tachyoryctes splendens,NA,NA
Alces americanus,Metazoa,Mammalia,Artiodactyla,Cervidae,Alces,Alces americanus,NA,NA
Apodiformes,Metazoa,Aves,Apodiformes,NA,NA,NA,NA,NA
Bonasa,Metazoa,Aves,Galliformes,Phasianidae,Bonasa,NA,NA,NA
Dipodomys californicus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys californicus,NA,NA
Equus hemionus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus hemionus,NA,NA
Erethizontidae,Metazoa,Mammalia,Rodentia,Erethizontidae,NA,NA,NA,NA
Myodes gapperi,Metazoa,Mammalia,Rodentia,Cricetidae,Clethrionomys,Clethrionomys gapperi,NA,NA
Nematoda,Metazoa,NA,NA,NA,NA,NA,NA,NA
Ondatra,Metazoa,Mammalia,Rodentia,Cricetidae,Ondatra,NA,NA,NA
Onychomys,Metazoa,Mammalia,Rodentia,Cricetidae,Onychomys,NA,NA,NA
Perognathus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,NA,NA,NA
Phasianus colchicus,Metazoa,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,1.136,Mace_Harvey_1983
Reithrodontomys,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,NA,NA,NA
Ailuropoda,Metazoa,Mammalia,Carnivora,Ursidae,Ailuropoda,NA,NA,NA
Arctonyx collaris,Metazoa,Mammalia,Carnivora,Mustelidae,Arctonyx,Arctonyx collaris,NA,NA
Atherurus macrourus,Metazoa,Mammalia,Rodentia,Hystricidae,Atherurus,Atherurus macrourus,NA,NA
Axis axis,Metazoa,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,NA,NA
Axis porcinus,Metazoa,Mammalia,Artiodactyla,Cervidae,Axis,Axis porcinus,NA,NA
Bos frontalis,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,NA,NA
Bos gaurus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos gaurus,NA,NA
Bos grunniens mutus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus,NA,NA
Bos javanicus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos javanicus,NA,NA
Boselaphus,Metazoa,Mammalia,Artiodactyla,Bovidae,Boselaphus,NA,NA,NA
Capreolus pygargus,Metazoa,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus pygargus,40,Hein_etal_2012
Capricornis milneedwardsii,Metazoa,Mammalia,Artiodactyla,Bovidae,Capricornis,Capricornis milneedwardsii,NA,NA
Capricornis sumatraensis,Metazoa,Mammalia,Artiodactyla,Bovidae,Capricornis,Capricornis sumatraensis,NA,NA
Cervus,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,NA,NA,NA
Cuon alpinus,Metazoa,Mammalia,Carnivora,Canidae,Cuon,Cuon alpinus,NA,NA
Elaphodus cephalophus,Metazoa,Mammalia,Artiodactyla,Cervidae,Elaphodus,Elaphodus cephalophus,NA,NA
Gallus,Metazoa,Aves,Galliformes,Phasianidae,Gallus,NA,NA,NA
Gazella bennettii,Metazoa,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella bennettii,NA,NA
Hemitragus hylocrius,Metazoa,Mammalia,Artiodactyla,Bovidae,Nilgiritragus,Nilgiritragus hylocrius,NA,NA
Hemitragus jemlahicus,Metazoa,Mammalia,Artiodactyla,Bovidae,Hemitragus,Hemitragus jemlahicus,NA,NA
Herpestes edwardsi,Metazoa,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes edwardsi,NA,NA
Herpestidae,Metazoa,Mammalia,Carnivora,Herpestidae,NA,NA,NA,NA
Hystrix indica,Metazoa,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix indica,NA,NA
Lepus nigricollis,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus nigricollis,NA,NA
Moschiola indica,Metazoa,Mammalia,Artiodactyla,Tragulidae,Moschiola,Moschiola indica,NA,NA
Moschiola meminna,Metazoa,Mammalia,Artiodactyla,Tragulidae,Moschiola,Moschiola meminna,NA,NA
Moschus,Metazoa,Mammalia,Artiodactyla,Moschidae,Moschus,NA,NA,NA
Muntiacus,Metazoa,Mammalia,Artiodactyla,Cervidae,Muntiacus,NA,NA,NA
Muntiacus muntjak,Metazoa,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus muntjak,NA,NA
Muntiacus muntjak vaginalis,Metazoa,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus vaginalis,NA,NA
Muntiacus vaginalis,Metazoa,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus vaginalis,NA,NA
Muntiacus vuquangensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus vuquangensis,NA,NA
Naemorhedus goral,Metazoa,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus goral,NA,NA
Nilgiritragus hylocrius,Metazoa,Mammalia,Artiodactyla,Bovidae,Nilgiritragus,Nilgiritragus hylocrius,NA,NA
Ochotona roylii,Metazoa,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona roylei,NA,NA
Paradoxurus jerdoni,Metazoa,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus jerdoni,NA,NA
Pseudois nayaur,Metazoa,Mammalia,Artiodactyla,Bovidae,Pseudois,Pseudois nayaur,NA,NA
Rhinopithecus,Metazoa,Mammalia,Primates,Cercopithecidae,Rhinopithecus,NA,NA,NA
Rucervus eldii,Metazoa,Mammalia,Artiodactyla,Cervidae,Rucervus,Rucervus eldii,NA,NA
Rusa unicolor,Metazoa,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,NA,NA
Rusa unicolor cambojensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,NA,NA
Semnopithecus,Metazoa,Mammalia,Primates,Cercopithecidae,Semnopithecus,NA,NA,NA
Semnopithecus entellus,Metazoa,Mammalia,Primates,Cercopithecidae,Semnopithecus,Semnopithecus entellus,NA,NA
Tetracerus quadricornis,Metazoa,Mammalia,Artiodactyla,Bovidae,Tetracerus,Tetracerus quadricornis,NA,NA
Trachypithecus geei,Metazoa,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus geei,NA,NA
Tragulidae,Metazoa,Mammalia,Artiodactyla,Tragulidae,NA,NA,NA,NA
Ursus thibetanus,Metazoa,Mammalia,Carnivora,Ursidae,Ursus,Ursus thibetanus,NA,NA
Viverricula indica,Metazoa,Mammalia,Carnivora,Viverridae,Viverricula,Viverricula indica,NA,NA
Viverridae,Metazoa,Mammalia,Carnivora,Viverridae,NA,NA,NA,NA
axis,Metazoa,Mammalia,Artiodactyla,Cervidae,Axis,NA,NA,NA
Aepyceros melampus melampus,Metazoa,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,63.50384,Tamburello_etal_2015
Alcelaphus buselaphus cokii,Metazoa,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,NA,NA
Beatragus hunteri,Metazoa,Mammalia,Artiodactyla,Bovidae,Beatragus,Beatragus hunteri,NA,NA
Cephalophus natalensis,Metazoa,Mammalia,Artiodactyla,Bovidae,Cephalophorus,Cephalophorus natalensis,NA,NA
Ceratotherium simum,Metazoa,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,NA,NA
Connochaetes,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,NA,NA,NA
Connochaetes taurinus mearnsi,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,140,Hein_etal_2012
Damaliscus korrigum,Metazoa,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,NA,NA
Diceros bicornis,Metazoa,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,NA,NA
Equus grevyi,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus grevyi,NA,NA
Equus quagga burchellii,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus quagga,NA,NA
Giraffa tippelskirchi,Metazoa,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa tippelskirchi,NA,NA
Hippopotamidae,Metazoa,Mammalia,Artiodactyla,Hippopotamidae,NA,NA,NA,NA
Hippotragus equinus,Metazoa,Mammalia,Artiodactyla,Bovidae,Hippotragus,Hippotragus equinus,NA,NA
Hippotragus niger,Metazoa,Mammalia,Artiodactyla,Bovidae,Hippotragus,Hippotragus niger,NA,NA
Kobus leche,Metazoa,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus leche,NA,NA
Kobus megaceros,Metazoa,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus megaceros,NA,NA
Kobus vardonii,Metazoa,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus vardonii,NA,NA
Lepus saxatilis,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus saxatilis,NA,NA
Litocranius walleri,Metazoa,Mammalia,Artiodactyla,Bovidae,Litocranius,Litocranius walleri,NA,NA
Loxodonta africana,Metazoa,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,4000.00008,Tamburello_etal
Nanger granti,Metazoa,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger granti,NA,NA
Papio anubis,Metazoa,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,16.65,Galan-Acedo et al. 2019
Papio papio,Metazoa,Mammalia,Primates,Cercopithecidae,Papio,Papio papio,NA,NA
Pelea capreolus,Metazoa,Mammalia,Artiodactyla,Bovidae,Pelea,Pelea capreolus,NA,NA
Potamochoerus larvatus,Metazoa,Mammalia,Artiodactyla,Suidae,Potamochoerus,Potamochoerus larvatus,NA,NA
Proboscidea,Metazoa,Mammalia,Proboscidea,NA,NA,NA,NA,NA
Raphicerus,Metazoa,Mammalia,Artiodactyla,Bovidae,Raphicerus,NA,NA,NA
Redunca,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,NA,NA,NA
Redunca redunca,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca redunca,NA,NA
Thryonomys swinderianus,Metazoa,Mammalia,Rodentia,Thryonomyidae,Thryonomys,Thryonomys swinderianus,NA,NA
Tragelaphus,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,NA,NA,NA
Tragelaphus imberbis,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,NA,NA
Tragelaphus scriptus,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,NA,NA
Calidris pugnax,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pugnax,NA,NA
Diplopoda,Metazoa,Diplopoda,NA,NA,NA,NA,NA,NA
Gryllidae,Metazoa,Insecta,Orthoptera,Gryllidae,NA,NA,NA,NA
Hodotermitidae,Metazoa,Insecta,Blattodea,Hodotermitidae,NA,NA,NA,NA
Hymenoptera,Metazoa,Insecta,Hymenoptera,NA,NA,NA,NA,NA
Lepidoptera,Metazoa,Insecta,Lepidoptera,NA,NA,NA,NA,NA
Macrotermitinae,Metazoa,Insecta,Blattodea,Termitidae,NA,NA,NA,NA
Solifugae,Metazoa,Arachnida,Solifugae,NA,NA,NA,NA,NA
Termitidae,Metazoa,Insecta,Blattodea,Termitidae,NA,NA,NA,NA
Atta,Metazoa,Insecta,Hymenoptera,Formicidae,Atta,NA,NA,NA
Aix sponsa,Metazoa,Aves,Anseriformes,Anatidae,Aix,Aix sponsa,0.658,Best_etal_1996
Anas fulvigula,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas fulvigula,NA,NA
Bassariscus astutus,Metazoa,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus,NA,NA
Columba livia domestica,Metazoa,Aves,Columbiformes,Columbidae,Columba,Columba livia,0.393,Moller_etal_2004
Columbiformes,Metazoa,Aves,Columbiformes,NA,NA,NA,NA,NA
Crotalus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,NA,NA,NA
Dipsosaurus dorsalis,Metazoa,Lepidosauria,Squamata,Iguanidae,Dipsosaurus,Dipsosaurus dorsalis,0.0506125,Perry_Garland_2002
Eutheria,Metazoa,Mammalia,NA,NA,NA,NA,NA,NA
Gallinula chloropus,Metazoa,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,NA,NA
Hypostomus alatus,Metazoa,Actinopteri,Siluriformes,Loricariidae,Hypostomus,Hypostomus alatus,NA,NA
Iguana,Metazoa,Lepidosauria,Squamata,Iguanidae,Iguana,NA,NA,NA
Lama guanicoe,Metazoa,Mammalia,Artiodactyla,Camelidae,Lama,Lama guanicoe,NA,NA
Larus canus,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus canus,NA,NA
Mephitis,Metazoa,Mammalia,Carnivora,Mephitidae,Mephitis,NA,NA,NA
Microtus ochrogaster,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus ochrogaster,0.03544,Tamburello_etal_2015
Muroidea,Metazoa,Mammalia,Rodentia,NA,NA,NA,NA,NA
Myocastor coypus,Metazoa,Mammalia,Rodentia,Myocastoridae,Myocastor,Myocastor coypus,NA,NA
Myotis grisescens,Metazoa,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis grisescens,NA,NA
Neotamias,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,NA,NA,NA
Neotoma fuscipes,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma fuscipes,NA,NA
Passeriformes,Metazoa,Aves,Passeriformes,NA,NA,NA,NA,NA
Peromyscus eremicus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,NA,NA
Peromyscus truei,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus truei,NA,NA
Pituophis catenifer annectens,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis catenifer,NA,NA
